,title,media,date,desc
26,Lava Jato sai de cena sob um Brasil em silêncio,El País,05/05/2021,"A força-tarefa Operação Lava Jato do Paraná, criada para apurar as  denúncias de corrupção na Petrobras e que ditou os rumos do país nos  últimos sete anos,..."
27,"Visando operação internacional, Monkey Exchange recebe aporte de US$ 6 milhões",Época Negócios,05/05/2021,"... transacionou mais de R$ 8 bilhões dentro da sua plataforma e  contabilizou mais de 50 clientes, com empresas como Gerdau e Petrobras no  seu portfólio."
28,Flávio Vianna será novo diretor executivo de Exploração e Produção do Instituto Brasileiro de Petróleo e Gás,CPG Click Petroleo e Gas,05/05/2021,"Com uma carreira de 37 anos na Petrobras, Vianna iniciou sua atuação na  Bacia de Campos em 1984 e, na abertura do setor em 1997, participou do  primeiro..."
29,"GM Onix inicia 2021 como terminou 2020, no topo da lista dos veículos mais vendidos",Diário do Poder,05/05/2021,Diário do Poder. Lucro abusivo da Petrobras é de meio bilhão por dia ·  Diário do Poder ... Diário do Poder. Dá para alterar a política de usura na  Petrobras.
30,Bolsonaro se reúne com ministros e o presidente da Petrobras para discutir preço de combustíveis,G1,06/06/2021,"Na semana passada, Petrobras anunciou segundo aumento do ano no preço da  gasolina nas refinarias; diesel também aumentou. Bolsonaro vem buscando,  junto com sua..."
31,CEO da Petrobras diz que governo nunca interferiu política de preços da empresa,Forbes Brasil,06/06/2021,"Ao longo de mais de dois anos da administração de Jair Bolsonaro, o governo  federal nunca interferiu em políticas de preços de combustíveis da  Petrobras ou..."
32,"Alta de combustível é culpa da Petrobras, e não de estados, dizem secretários de Fazenda",Folha,06/06/2021,"Alta de combustível é culpa da Petrobras, e não de estados, dizem  secretários de Fazenda. Representantes dos governos regionais criticam  proposta de Bolsonaro..."
33,"Petrobras tem atuado de maneira independente do governo, diz Castello Branco",Correio Braziliense,06/06/2021,"O presidente da Petrobras, Roberto Castello Branco, reforçou nesta  sexta-feira, 5, que a estatal tem atuado de maneira independente do  governo,..."
34,Petrobras (PETR4) conclui a venda de ativos no Uruguai,Eu Quero Investir,06/06/2021,"A Petrobras (PETR4) informou que sua controlada indireta, Petrobras Uruguay  Sociedad Anónima de Inversión (PUSAI), finalizou hoje a venda de sua..."
35,ANP pede dados à Petrobras sobre lote de gasolina de aviação,CNN Brasil,06/06/2021,"A Agência Nacional de Petróleo, Gás Natural e Biocombustíveis (ANP)  informou nesta sexta-feira (5), que pediu esclarecimentos à Petrobras e BR  Distribuidora..."
36,Bolsonaro diz que não vai interferir na Petrobras e ações da estatal saltam,iG Economia,06/06/2021,"A fala aconteceu em entrevista coletiva ao lado do presidente da Petrobras,  Roberto Castello Branco , do ministro da Economia, Paulo Guedes , e do  ministro de..."
37,Petrobras (PETR4) inicia fase não-vinculante para venda da TBG e da TSB,EuQueroInvestir,06/06/2021,A Petrobras (PETR4) informou na noite desta sexta-feira (5) o início da  fase não-vinculante referente à venda da totalidade de suas participações  de 51% na...
38,"Ibovespa volta aos 120K, mas Petrobras está presa no Dia da Marmota",Você SA,06/06/2021,"O que o mercado ouviu? Lá vem intervenção na Petrobras. Mas oficialmente  não foi o que aconteceu. Bolsonaro tirou da cartola, de novo, a história do  ICMS,..."
39,Petroleiros repudiam exposição de salários em relatório do Ministério da Economia,Valor Investe,06/06/2021,"“Por fim, importante frisar que a Petrobras não depende da União para pagar  os salários e benefícios dos seus empregados”, diz a nota."
40,Petrobras muda cálculo de reajuste de combustíveis e ...,UOL Economia,07/07/2021,O mercado financeiro reagiu mal ao tomar conhecimento ontem de que a  Petrobras poderá demorar até um ano para reajustar os preços dos  combustíveis em suas...
41,Bolsonaro quer diminuir o impacto do ICMS sobre combustíveis,Correio Braziliense,07/07/2021,"A principal reivindicação da categoria é a revisão da política de preços  adotada pela Petrobras sobre o litro do óleo diesel, que segue parâmetros..."
