title|media|date|datetime|desc|link|img|site
"Bolsonaro critica novo reajuste da Petrobras, mas diz que não vai mudar política de preços | NSC Tot"||12 de mar.||bookmark_border|news.google.com/./articles/CBMifmh0dHBzOi8vd3d3Lm5zY3RvdGFsLmNvbS5ici9ub3RpY2lhcy9ib2xzb25hcm8tY3JpdGljYS1ub3ZvLXJlYWp1c3RlLWRhLXBldHJvYnJhcy1tYXMtZGl6LXF1ZS1uYW8tdmFpLW11ZGFyLXBvbGl0aWNhLWRlLXByZWNvc9IBhAFodHRwczovL3d3dy5uc2N0b3RhbC5jb20uYnIvbm90aWNpYXMvYm9sc29uYXJvLWNyaXRpY2Etbm92by1yZWFqdXN0ZS1kYS1wZXRyb2JyYXMtbWFzLWRpei1xdWUtbmFvLXZhaS1tdWRhci1wb2xpdGljYS1kZS1wcmVjb3M_YW1wPTE?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/govi3jkLOkiiXVuQJ0vaIrFVux9Phjr3CteD2v3qa5SXRuikflR3qVnV2EG9HFzpbXZgEQqYOp7bT3QfxQ1ejqQo5Pae0gYniKWJ1H3mgStf11hRu6dYwYqchd7LjQRm9l4pCxnAsIkNkUrTZQLgtGQ04_XUQT-zfIh6pgAy705l2e8RHjNGrTsGH0SeLBnX_il1UfoJ-za-cl_ewKn8FkbKYjTk1babEHUtenorhN9cb8XtwSu0-ckMUdLwiIljao0cdjIl4sVoBNFCXaZwQ9Rr4t0xM7cRDbvQXba0bxUpz-ziVuM6nqn82gUsKeHhHxEqL4XCIXzJ=s0-w100-h100-dcJWaU7CkI|NSC Total
Ações da Petrobras ignoram Bolsonaro e sobem mais de 3%||1 de nov. de 2021||bookmark_border|news.google.com/./articles/CBMiZmh0dHBzOi8vdm9jZXNhLmFicmlsLmNvbS5ici9tZXJjYWRvLWZpbmFuY2Vpcm8vYWNvZXMtZGEtcGV0cm9icmFzLWlnbm9yYW0tYm9sc29uYXJvLWUtc29iZW0tbWFpcy1kZS0zL9IBamh0dHBzOi8vdm9jZXNhLmFicmlsLmNvbS5ici9tZXJjYWRvLWZpbmFuY2Vpcm8vYWNvZXMtZGEtcGV0cm9icmFzLWlnbm9yYW0tYm9sc29uYXJvLWUtc29iZW0tbWFpcy1kZS0zL2FtcC8?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/jtyfNT8o9wqgEJKN3XStv_shfZczVGIwnnKfSvixEBp_RKt4jOyzyHNeoqbQE33aACDcUqhnOoPsgSvtHDwfqpfmpepXIE5ohjROOgHtUz9KMe86lPb3niAF4t1YlJ7PItUqxNMwXkpFSJmk8PT7=s0-w100-h100-dcCTCUxRqqc4gC|VC S/A
Lula: “Quem tem que ganhar com a Petrobras é o povo brasileiro, que a criou”||30 de nov. de 2021||bookmark_border|news.google.com/./articles/CBMiW2h0dHBzOi8vcHQub3JnLmJyL2x1bGEtcXVlbS10ZW0tcXVlLWdhbmhhci1jb20tYS1wZXRyb2JyYXMtZS1vLXBvdm8tYnJhc2lsZWlyby1xdWUtYS1jcmlvdS_SAV9odHRwczovL3B0Lm9yZy5ici9sdWxhLXF1ZW0tdGVtLXF1ZS1nYW5oYXItY29tLWEtcGV0cm9icmFzLWUtby1wb3ZvLWJyYXNpbGVpcm8tcXVlLWEtY3Jpb3UvYW1wLw?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/nEVP7yqS9-TNU6-7hBWZ2khORGF0OtjzpoiMZEYAXdVJTBbNeBbVwA59VgXBQ61E0hbGoui7HNi0QWvXyaPh8raC2_tUYjpIjW5DwOP4W73kbbnwLTf7EijcJavVPg-9tWIytQkBDh041F5LWwV1ZYAaWGPf9nqf7MHsxeH8=s0-w100-h100-dcqVWGziUI|Partido dos Trabalhadores
Petrobras: entre gasolina a R$ 7 e ameaças do governo, vale investir na estatal?||17 de set. de 2021||bookmark_border|news.google.com/./articles/CBMifGh0dHBzOi8vdm9jZXNhLmFicmlsLmNvbS5ici9tZXJjYWRvLWZpbmFuY2Vpcm8vcGV0cm9icmFzLWVudHJlLWdhc29saW5hLWEtci03LWUtYW1lYWNhcy1kby1nb3Zlcm5vLXZhbGUtaW52ZXN0aXItbmEtZXN0YXRhbC_SAYABaHR0cHM6Ly92b2Nlc2EuYWJyaWwuY29tLmJyL21lcmNhZG8tZmluYW5jZWlyby9wZXRyb2JyYXMtZW50cmUtZ2Fzb2xpbmEtYS1yLTctZS1hbWVhY2FzLWRvLWdvdmVybm8tdmFsZS1pbnZlc3Rpci1uYS1lc3RhdGFsL2FtcC8?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/JBEBEpH24J35-XEPoYRh5tmqxiiqDa3Y3n7JKn8XRfH24-oPgz2Wyv4dwwOmWme_8q1D23bR_-Wr3ogOvLRUljulfGMZtAxzokd0nJyT6nygZp1jwAEvGie6q8GN0fAmDFgCbwO-iLPEYnWEAWFbuQ70zyR_VUGlBuiJKuSs4U0mmS7J3Atiq7H3hAADYfOQJLahqalT=s0-w100-h100-dcAaCI0cAE|VC S/A
Ex-secretário de Petróleo do MME é indicado para comandar Petrobras||6 de abr.||bookmark_border|news.google.com/./articles/CBMiYGh0dHBzOi8vc2FncmVzb25saW5lLmNvbS5ici9leC1zZWNyZXRhcmlvLWRlLXBldHJvbGVvLWRvLW1tZS1lLWluZGljYWRvLXBhcmEtY29tYW5kYXItcGV0cm9icmFzL9IBAA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/WbHLCSoT1qdNNPCxiKyK616IWOuVne5nmkfpOb4775b5M4Pnj17fz8jr67ASL8QHo59V9hEDTxXw7yEKFKl6zsDs2oWoSSfNC2FQOMFXoPlmivqaXgnwFkjoMxhgQ4E=s0-w100-h100-dcAZKKS8Fkscsp0z0|Sagres Online
Vale (VALE3), 3R Petroleum (RRRP3) e Petrobras (PETR4) lideraram altas do Ibovespa; Ambev (ABEV3) foi maior baixa||2 de mar.||bookmark_border|news.google.com/./articles/CAIiEHGP6-ewwmi-t4bCd77JWlcqGQgEKhAIACoHCAow4vPyCjCh9NkCMIfhjAc?uo=CAUiVmh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3MvaWJvdmVzcGEtaG9qZS1ib2xzYS1kZS12YWxvcmVzLWFvLXZpdm8tMDIwMzIwMjIv0gEA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/N5I0CTBSC9yDsgDRg6aAKTAcNZ88oDXj_0C6SSfxmtfl2zp1rAyS7a1k_S_BjFZcUrpAcoFmjfHtSaMnqDY=s0-w100-h100-p-df|InfoMoney
"Petrobras aumenta preço do gás natural em 19% a partir de domingo | NSC Total"||29 de abr.||bookmark_border|news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3Lm5zY3RvdGFsLmNvbS5ici9ub3RpY2lhcy9wZXRyb2JyYXMtYXVtZW50YS1wcmVjby1kby1nYXMtbmF0dXJhbC1lbS0xOS1hLXBhcnRpci1kZS1kb21pbmdv0gFraHR0cHM6Ly93d3cubnNjdG90YWwuY29tLmJyL25vdGljaWFzL3BldHJvYnJhcy1hdW1lbnRhLXByZWNvLWRvLWdhcy1uYXR1cmFsLWVtLTE5LWEtcGFydGlyLWRlLWRvbWluZ28_YW1wPTE?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/u1nN8Bl-IR94Dczk6R1D69VLhmmhPJgjvkXoT4mvS7BHSRbBvs8I84-ixyyhaALZkjjuD7kbDaIgoWzzUWJYwSGYkI0dgLyfNLnC7WJwxnORixT45AVMoWURgi7lfrNj7BgKiYHBnAL4fLBadDFm-wZIoeqE5FKw898eqKhOjjPHQYtQql8tUUsy6BuTqcRE9K5VLamG-oXaiuaL_NR0wM2kFed1AGFn8DssvcAH0QOHVJXNcIdMhX2gH_WJP18=s0-w100-h100-dcAaCIEskF|NSC Total
Brasileiro foi gari na Petrobras, quase não pagou passaporte por R$ 3 e hoje enfrenta o Real Madrid na Champions||24 de nov. de 2021||bookmark_border|news.google.com/./articles/CBMinwFodHRwczovL3d3dy5lc3BuLmNvbS5ici9mdXRlYm9sL2FydGlnby9fL2lkLzk1NjcwMzgvY2hhbXBpb25zLWJyYXNpbGVpcm8tZm9pLWdhcmktbmEtcGV0cm9icmFzLXF1YXNlLW5hby1wYWdvdS1wYXNzYXBvcnRlLXBvci1yLTMtZS1ob2plLWVuZnJlbnRhLW8tcmVhbC1tYWRyaWTSAawBaHR0cHM6Ly93d3cuZXNwbi5jb20uYnIvZnV0ZWJvbC9hcnRpZ28vXy9pZC85NTY3MDM4L2NoYW1waW9ucy1icmFzaWxlaXJvLWZvaS1nYXJpLW5hLXBldHJvYnJhcy1xdWFzZS1uYW8tcGFnb3UtcGFzc2Fwb3J0ZS1wb3Itci0zLWUtaG9qZS1lbmZyZW50YS1vLXJlYWwtbWFkcmlkP3BsYXRmb3JtPWFtcA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/0JfiinTxPVSGT57tYCJeVJX3YSVEFhiEBhPh6_v5-9GVb7QJwPhDmMDBfSlVNbxUAogL5yWd4rU_61_B6qiPyhIwjTVOJwdJYahWLXjh4sncKGdLeyFG7gnl=s0-w100-h100-dcoRSEqhEK|ESPN.com.br
"Petrobras vai pagar vale-gás de R$ 100 a partir deste mês; saiba quem tem direito | NSC Total"||9 de dez.||bookmark_border|news.google.com/./articles/CBMidGh0dHBzOi8vd3d3Lm5zY3RvdGFsLmNvbS5ici9ub3RpY2lhcy9wZXRyb2JyYXMtdmFpLXBhZ2FyLXZhbGUtZ2FzLWRlLXItMTAwLWEtcGFydGlyLWRlc3RlLW1lcy1zYWliYS1xdWVtLXRlbS1kaXJlaXRv0gF6aHR0cHM6Ly93d3cubnNjdG90YWwuY29tLmJyL25vdGljaWFzL3BldHJvYnJhcy12YWktcGFnYXItdmFsZS1nYXMtZGUtci0xMDAtYS1wYXJ0aXItZGVzdGUtbWVzLXNhaWJhLXF1ZW0tdGVtLWRpcmVpdG8_YW1wPTE?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/bLaD3YR_1RfGXQHVnMjbL2ZNnshmBZHr-9ghfK8n3XO7w20Umdbjm026SFW4B0D7cLc_UGfUYULC6efamXVuB7B3ploIPdvAoxAH6J1ZeIhj_LBm8hbLqz1LIjw4z_O_a1-MrJPBRzngXK3aLBXzW2zx8aJxz9_2gKFcOhluMtZWj75RE07z3r5IjwmbgMZiTl_t0fDgpmGahDhqX_1F9ymUoCYIMD2ZWSsoEeyTqd1aTOios3rpDQfTR9DVP7zHavfEpvHN=s0-w100-h100-dcAQCCRw0F|NSC Total
Especialista fala sobre Petrobrás e alta dos combustíveis||19 de jan.||bookmark_border|news.google.com/./articles/CAIiEIVo0-2nTBmhFAOmD0RenFwqGQgEKhAIACoHCAow1qGjCzCZrLsDML6ugwc?uo=CAUiVGh0dHBzOi8vZ2FyYWdlbTM2MC5jb20uYnIvZXNwZWNpYWxpc3RhLWZhbGEtc29icmUtcGV0cm9icmFzLWUtYWx0YS1kb3MtY29tYnVzdGl2ZWlzL9IBAA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/AzTfkZe4VpasuvYkV-RFQzTx6FyFOBSL7WX1Nh1D0aBuA-ik6CrvigJeFVhNile8_Zn8Bp1hhI-e1pGCMxGKTIc850UXZRMrJRbISBjOpOufqkpi6Kdp_U6rqH8_k8a21vVwG9x7=s0-w100-h100-dcGSKKa60E|Garagem 360
