Date|Adj Close|Volume|Var%
2022-01-03|23.861391067504883|52704700|0.022495530857029378
2022-01-04|23.95162010192871|51739200|0.00378138198936373
2022-01-05|23.024723052978516|78459800|-0.03869872037906763
2022-01-06|23.008319854736328|61163100|-0.0007124167445768936
2022-01-07|23.114953994750977|47507600|0.0046345904737019605
2022-01-10|22.975509643554688|37455200|-0.006032646711213618
2022-01-11|23.65632438659668|73623800|0.029632193305143106
2022-01-12|24.378154754638672|81378200|0.03051320890962117
2022-01-13|24.870311737060547|76717500|0.02018844278311205
2022-01-14|25.79720687866211|96458800|0.03726914046760199
2022-01-17|25.838220596313477|35675900|0.0015898510968368473
2022-01-18|25.953054428100586|78198800|0.004444339785669715
2022-01-19|25.83001708984375|77480200|-0.0047407652381608045
2022-01-20|26.0186767578125|85353100|0.00730389249502017
2022-01-21|26.059690475463867|61345400|0.0015763183513570755
2022-01-24|26.207338333129883|79117100|0.005665756383600673
2022-01-25|27.060409545898438|98358500|0.03255085281553183
2022-01-26|27.782238006591797|98679900|0.026674705697599776
2022-01-27|27.790441513061523|90631000|0.0002952788205103918
2022-01-28|26.69129180908203|117400500|-0.0395513580978154
2022-01-31|26.53544044494629|62450300|-0.005839034140817101
2022-02-01|27.06861114501953|57315200|0.020092777475445578
2022-02-02|26.67488670349121|36271700|-0.014545424566445253
2022-02-03|26.305767059326172|51087800|-0.013837721159532745
2022-02-04|26.76511573791504|59346800|0.01746190018154259
2022-02-07|26.371389389038086|48868100|-0.01471042952820889
2022-02-08|26.108905792236328|62590000|-0.009953347278352509
2022-02-09|26.207338333129883|50960500|0.0037700753021532307
2022-02-10|26.609264373779297|49534600|0.015336393018642536
2022-02-11|27.692007064819336|88013400|0.04069044058606042
2022-02-14|27.06861114501953|55687000|-0.02251176371364516
2022-02-15|26.642074584960938|65689000|-0.015757607871842105
2022-02-16|27.011192321777344|65811600|0.013854691970000221
2022-02-17|26.904558181762695|43255200|-0.003947776119778146
2022-02-18|27.06861114501953|60304700|0.00609758993805154
2022-02-21|27.765830993652344|51263800|0.025757503585886576
2022-02-22|27.67560577392578|80206700|-0.003249505471209946
2022-02-23|28.0693302154541|86530100|0.014226407354713144
2022-02-24|27.388513565063477|139674100|-0.024254823508962353
2022-02-25|27.888872146606445|86189100|0.018268920668305988
2022-03-02|28.438446044921875|58071800|0.019705848821222505
2022-03-03|28.085737228393555|69237400|-0.012402534792905873
2022-03-04|28.077531814575195|55418000|-0.0002921558993318474
2022-03-07|26.08429718017578|110954100|-0.07099037933828345
2022-03-08|26.625669479370117|111633500|0.020754720568272766
2022-03-09|26.70769691467285|87779300|0.0030807651753617105
2022-03-10|27.642793655395508|136437700|0.03501225671798469
2022-03-11|26.650279998779297|92153700|-0.03590496926574149
2022-03-14|26.14171600341797|52274100|-0.019082876254381653
2022-03-15|25.510116577148438|66272000|-0.0241605955089923
2022-03-16|25.288644790649414|72034900|-0.008681723810600506
2022-03-17|24.616029739379883|178319300|-0.026597512711247884
2022-03-18|25.108186721801758|93097100|0.019993353421837057
2022-03-21|26.051488876342773|67700800|0.037569505316843
2022-03-22|25.9366512298584|56128600|-0.004408103008218367
2022-03-23|26.28936195373535|52956100|0.013598930746730797
2022-03-24|26.592857360839844|49402800|0.011544418903683962
2022-03-25|26.494428634643555|51780100|-0.0037013219324536495
2022-03-28|25.920246124267578|68610500|-0.02167182083048158
2022-03-29|26.494428634643555|93809000|0.022151892679691976
