Date|Adj_Close|Volume|Var%
2020-03-20|7.9998250007629395|149029900|0.04347823653140903
2020-03-17|8.666478157043457|149228500|0.08333346744671788
2020-06-24|14.000452041625977|65162400|0.6154719123416321
2021-03-01|14.667431831359863|90330100|0.04763987532337022
2021-03-19|16.000837326049805|90244500|0.0909092682359729
2021-04-07|16.000837326049805|55892200|0.0
2020-12-07|18.00094223022461|72664200|0.12500001490038137
2021-01-26|18.00094223022461|64514600|0.0
2021-10-01|20.445180892944336|60983200|0.1357839290554308
2021-11-01|20.445180892944336|102157200|0.0
2020-01-14|19.999563217163086|39796500|-0.021795731625687598
2020-01-20|19.999563217163086|31241400|0.0
2021-01-07|20.667749404907227|56171300|0.033410039033788586
2022-02-25|27.888872146606445|86189100|0.34939086013809906
2020-04-28|11.500370979309082|91613600|-0.5876358527926895
2020-10-26|13.50070571899414|58229100|0.17393654024587257
2022-05-03|27.145206451416016|52531000|1.0106509256938643
2020-03-24|8.83314037322998|114259200|-0.6745966773529842
2021-05-06|16.194787979125977|54091600|0.8334122740997594
2020-11-27|17.000890731811523|49863500|0.04977544341578044
2021-09-09|18.619718551635742|156617100|0.09522017671668936
2021-06-04|19.640485763549805|102757300|0.05482183895977255
2020-01-08|20.332889556884766|48215600|0.035253903679916654
2022-01-17|25.838220596313477|35675900|0.2707598948996697
2022-02-01|27.06861114501953|57315200|0.047619012467197575
2022-02-14|27.06861114501953|55687000|0.0
2022-02-18|27.06861114501953|60304700|0.0
2020-04-22|11.166420936584473|114967100|-0.5874771381228021
2020-10-15|13.167354583740234|56952100|0.17919203104730852
2020-11-06|13.167354583740234|37273300|0.0
2021-12-27|23.582502365112305|44227900|0.7909825557696504
2021-02-08|18.74098014831543|98821700|-0.20530146215354017
2021-11-22|19.247676849365234|59195200|0.02703683035998261
2020-02-17|19.572904586791992|38684900|0.01689698658035632
2021-12-07|24.082860946655273|98989300|0.23041834899183278
2020-09-30|13.074017524719238|69505000|-0.4571235720839466
2020-11-09|14.407419204711914|164904100|0.10198867161311309
2022-03-18|25.108186721801758|93097100|0.7427261860743375
2021-01-11|20.57440948486328|48744700|-0.18056967980892624
2020-05-12|12.09372329711914|71837200|-0.4121958491194332
2021-09-27|19.81722068786621|89178700|0.638636853266429
2020-02-21|19.426240921020508|47805100|-0.01972929367865872
2021-06-16|20.08153533935547|77432900|0.033732435472160205
2022-07-04|29.139999389648438|37324200|0.4510842371967614
2021-03-05|14.927447319030762|126306300|-0.4877334374847818
2021-05-24|18.1864013671875|63029600|0.2183195812724088
2021-09-29|19.999765396118164|58731700|0.09970988720189555
2020-03-25|9.546457290649414|158286200|-0.5226715363120047
2020-12-03|17.760929107666016|62424500|0.8604733218743388
2021-08-19|19.452129364013672|80808200|0.09522025824750902
2022-01-18|25.953054428100586|78198800|0.3342012045279521
2020-11-05|13.260693550109863|40874800|-0.4890507555923017
2020-08-31|14.594094276428223|48539700|0.10055286484674952
2020-08-19|15.260798454284668|51982100|0.0456831486235687
2021-05-04|15.774412155151367|44765000|0.033655755457703274
2020-03-04|17.9262752532959|42320500|0.1364147885182403
2020-07-02|14.707140922546387|56345900|-0.1795763082549815
2021-02-23|16.04083824157715|293503100|0.09068365673889556
2021-07-01|20.026405334472656|65084000|0.2484637668476135
2022-04-26|26.974706649780273|48764100|0.346956989996956
2022-04-27|26.974706649780273|41881300|0.0
2020-09-29|12.874006271362305|52878100|-0.5227378581532351
2022-06-17|27.309999465942383|184606500|1.1213287371695904
2020-03-10|11.706411361694336|170478000|-0.5713507290143631
2022-04-22|27.42338752746582|74560900|1.3425955811872887
2021-07-29|19.164979934692383|43916600|-0.30114469208088357
2020-01-06|20.53955078125|81844000|0.07172305169333226
2022-01-26|27.782238006591797|98679900|0.3526215009509093
2020-07-29|15.447473526000977|44011500|-0.44398023217799054
2021-03-12|15.447473526000977|68123200|0.0
2020-03-19|8.139822006225586|157065200|-0.4730645116481509
2020-02-14|19.612905502319336|30399900|1.4095005378887624
2020-05-22|12.447068214416504|71259400|-0.36536337194177737
2020-10-28|12.447317123413086|79247400|1.99973995718139e-05
2020-05-26|13.11375617980957|68716900|0.053540779092301705
2020-09-15|14.447423934936523|58546700|0.10169990480533087
2021-02-22|14.447423934936523|490230400|0.0
2020-08-14|15.114124298095703|38422000|0.046146660204728684
2022-07-06|27.670000076293945|57617200|0.8307378932817309
2020-02-20|19.946231842041016|73522900|-0.279138713876268
2020-10-05|13.354033470153809|73288500|-0.3304984331924147
2021-06-15|20.0057315826416|42597100|0.49810404679262654
2020-05-06|11.52037239074707|67937500|-0.42414640808522264
2021-03-16|15.52081298828125|43407900|0.3472492435007788
2021-04-19|16.732316970825195|196519100|0.07805673475085828
2021-08-04|18.110597610473633|87970600|0.08237237210194115
2020-12-22|18.187618255615234|46513200|0.004252794236732305
2022-04-29|27.17212677001953|76243900|0.4939903833549193
2020-06-08|15.020486831665039|82444400|-0.44720974700302263
2020-03-02|17.686281204223633|71596400|0.17747722843035763
2022-05-06|29.666793823242188|129570200|0.677390146672411
2020-03-26|9.593123435974121|130618400|-0.6766376746630951
2020-08-04|14.520760536193848|63011900|0.5136634729144769
2021-04-26|16.38774871826172|33281000|0.12857371880861845
2021-05-12|17.076887130737305|89980700|0.04205204902291704
2021-04-15|15.912240982055664|64193600|-0.06820014325593049
2021-05-26|17.979660034179688|46646900|0.12992632869596843
2022-01-03|23.861391067504883|52704700|0.32713249428208924
2020-05-29|13.56043815612793|128832600|-0.4316995971540436
2020-02-28|16.892967224121094|89095300|0.24575378978349627
