title|media|date|datetime|desc|link|img
Moro defende privatizar Petrobras e todos os bancos públicos, 'se for possível'|O Globo|01/02/2022||SÃO PAULO — O ex-juiz e ex-ministro da Justiça Sergio Moro (Podemos) disse nesta terça-feira que, em um eventual governo, pretende privatizar a Petrobras e...|https://oglobo.globo.com/politica/moro-defende-privatizar-petrobras-todos-os-bancos-publicos-se-for-possivel-25377139|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras assina venda do Polo Potiguar e da refinaria Clara Camarão no RN|G1|01/02/2022||A Petrobras anunciou que assinou nesta segunda-feira (31) o contrato para a venda da totalidade de sua participação em um conjunto de 22 concessões de...|https://g1.globo.com/rn/rio-grande-do-norte/noticia/2022/02/01/petrobras-assina-venda-do-polo-potiguar-e-da-refinaria-clara-camarao-no-rn.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
FUP desmente funcionário não concursado da Petrobrás|FUP|01/02/2022||Fantasiado de petroleiro, diretor da Petrobrás que atacou Lula foi indicado por Bolsonaro em 2019. Rafael Chaves Santos, que teve discurso divulgado por...|https://fup.org.br/fup-desmente-funcionario-nao-concursado-da-petrobras/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Redes privadas aumentam o preço dos combustíveis mais do que a Petrobras|Brasil do Trecho|01/02/2022||Combustível mais caro não é culpa apenas da Petrobras. Na antiga Refinaria Landulpho Alves (Rlam), atual Mataripe(administrada pela Acelen, o valor dos...|https://www.brasildotrecho.com.br/2022/02/redes-privadas-aumentam-o-preco-dos-combustiveis-mais-do-que-a-petrobras/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Vale (VALE3), Petrobras (PETR4), siderúrgicas e Inter (BIDI11) puxam alta da bolsa|InfoMoney|01/02/2022||Vale (VALE3), Petrobras (PETR4), siderúrgicas e Inter (BIDI11) puxam alta da bolsa. Confira o que movimentou a bolsa hoje. Por Equipe InfoMoney 1 fev 2022 07h58...|https://www.infomoney.com.br/mercados/ibovespa-hoje-bolsa-de-valores-ao-vivo-01022022/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras (PETR4) recebe US$ 475 milhões da Equinor (E1QN34) por venda de bloco exploratório|Suno|01/02/2022||Petrobras vende 22 campos no RN para a 3R Petroleum (RRRP3). A Petrobras aprovou na última sexta-feira (28) a venda da totalidade de sua participação (100%) em...|https://www.suno.com.br/noticias/petrobras-petr4-equinor-e1qn34-bloco-exploratorio/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras inicia testes no GasLub, antigo Comperj|Valor Econômico|01/02/2022||A Petrobras iniciou os testes operacionais do Polo GasLub, o antigo Complexo Petroquímico do Estado do Rio de Janeiro (Comperj), em Itaboraí (RJ).|https://valor.globo.com/empresas/noticia/2022/02/01/petrobras-inicia-testes-no-gaslub-antigo-comperj.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
3R foca na operação após comprar US$2 bi em ativos da ...|E-Investidor|01/02/2022||Com a assinatura de compra do polo Potiguar, da Petrobras, anunciada na véspera, a brasileira 3R Petroleum se consagra como uma das principais operadoras...|https://einvestidor.estadao.com.br/ultimas/3r-operacao-us2-bi-ativos-petrobras/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Com 66% dos votos, Rosangela Buzanelli é reeleita para o ...|CUT|01/02/2022||Com 66,03% dos votos, a atual representante dos trabalhadores no Conselho de Administração da Petrobras, Rosangela Buzanelli (1000), foi reeleita para o...|https://www.cut.org.br/noticias/com-66-dos-votos-rosangela-buzanelli-e-reeleita-para-o-ca-da-petrobras-495a|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Romi, Santander, Cielo, Google, Petrobras e mais: Veja os destaques das empresas|Valor Investe|01/02/2022||Romi, Santander, Cielo, Google, Petrobras e mais: Veja os destaques das empresas. A Indústrias Romi abre o calendário nacional de divulgação de balanços do...|https://valorinveste.globo.com/mercados/renda-variavel/empresas/noticia/2022/02/01/romi-santander-cielo-google-petrobras-e-mais-veja-os-destaques-das-empresas.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
